Year,Population (in â€˜000),Total Malaria Cases (million),P.falciparum cases (million),Pf %,API,Deaths due to malaria
1995,888143,2.93,1.14,38.84,3.29,1151
1996,872906,3.04,1.18,38.86,3.48,1010
1997,884719,2.66,1.01,37.87,3.01,879
1998,910884,2.22,1.03,46.35,2.44,664
1999,948656,2.28,1.14,49.96,2.41,1048
2000,970275,2.03,1.05,51.54,2.09,932
2001,984579,2.09,1.01,48.20,2.12,1005
2002,1013942,1.84,0.90,48.74,1.82,973
2003,1027157,1.87,0.86,45.85,1.82,1006
2004,1040939,1.92,0.89,46.47,1.84,949
2005,1082882,1.82,0.81,44.32,1.68,963
2006,1072713,1.79,0.84,47.08,1.66,1707
2007,1087582,1.51,0.74,49.11,1.39,1311
2008,1119624,1.53,0.77,50.81,1.36,1055
2009,1150113,1.56,0.84,53.72,1.36,1144
2010,1167360,1.60,0.83,52.12,1.37,1018
2011,1194901,1.31,0.67,50.74,1.10,754
2012,1211580,1.06,0.53,49.98,0.88,519
2013,1221640,0.88,0.46,52.61,0.72,440
2014,1234995,1.10,0.72,65.55,0.89,562
2015,1265173,1.17,0.78,66.61,0.92,384
2016,1283303,1.09,0.71,65.53,0.85,331
2017,1315092,0.84,0.53,62.70,0.64,194
2018,1315092,0.34,0.16,47.93,0.32,96
2019,1349004,0.34,0.16,46.36,0.25,73
2020,1337645,0.20,0.16,78.66,0.01,2