Year,Population in thousand,Blood Smear Examined,Positive cases,Pf Cases,ABER,API,SPR,SFR,Deaths
2001,984579,"9,03,89,019","20,85,484","10,05,236",9.18,2.12,2.31,1.11,1005
2002,1013942,"9,16,17,725","18,41,229","8,97,446",9.04,1.82,2.01,0.98,973
2003,1027157,"9,91,36,143","18,69,403","8,57,101",9.65,1.82,1.89,0.86,1006
2004,1040939,"9,71,11,526","19,15,363","8,90,152",9.33,1.84,1.97,0.92,949
2005,1082882,"10,41,43,806","18,16,569","8,05,077",9.62,1.68,1.74,0.77,963
2006,1072713,"10,67,25,851","17,85,129","8,40,360",9.95,1.66,1.67,0.79,1707
2007,1087582,"9,49,28,090","15,08,927","7,41,076",8.73,1.39,1.59,0.78,1311
2008,1119624,"9,73,16,158","15,26,210","7,75,523",8.69,1.36,1.57,0.80,1055
2009,1150113,103396076,"1563,574","8,39,877",8.99,1.36,1.51,0.81,1144
2010,1167360,106040223,1495817,779549,9.21,1.37,1.41,0.74,1018
2011,1194901,109313294,1310656,665004,9.12,1.10,1.20,0.61,754
2012,1211580,109048884,1067824,533695,9.00,0.88,0.98,0.49,519
2013,1221640,113445106,881730,463846,9.26,0.72,0.78,0.41,440
2014,1234995,124066331,1102205,722546,10.05,0.89,0.89,0.58,562
2015,1265173,121141970,1169261,778821,9.58,0.92,0.97,0.64,384
2016,1283303,124933348,1085823,711502,9.74,0.85,0.87,0.57,331
2017,1315092,125977799,844558,529530,9.58,0.64,0.67,0.42,194
2018,1337617,124475724,429928,207198,9.31,0.32,0.35,0.17,96
2019,1349004,132752934,338513,156937,9.84,0.25,0.25,0.12,73
2020,1337645,16376515,19980,15716,1.22,0.01,0.12,0.10,2